23.89,20.21,18.11,18.07,18.74,22.92,28.77,29.01,32.60,35.85,37.27,35.74,34.91,35.82,35.52,34.64,34.32,34.20,33.57,33.61,37.32,32.52,29.77,25.21
22.34,19.78,17.63,17.65,17.69,22.17,30.01,28.41,34.77,36.89,37.93,37.89,37.85,37.85,37.78,37.85,36.00,36.56,34.95,37.83,37.93,38.96,33.59,29.63
23.77,20.34,17.87,17.86,18.10,20.92,26.06,25.74,35.82,37.93,37.47,37.47,37.40,37.47,37.80,37.81,37.89,37.59,35.93,33.33,36.49,33.56,27.79,25.21
15.73,15.44,14.78,14.23,14.64,15.16,23.07,34.67,38.31,40.98,44.36,45.68,45.87,48.23,48.02,49.28,51.99,49.01,47.85,46.10,47.11,42.13,39.22,36.92
32.10,29.26,26.26,24.36,25.47,30.55,35.25,39.76,41.06,43.68,46.92,47.85,48.06,52.75,56.13,47.79,46.14,51.07,47.62,46.04,47.28,43.90,38.15,36.94
31.88,28.21,25.72,24.81,25.39,29.59,35.30,38.19,40.21,40.95,44.58,46.05,46.67,48.90,48.67,49.21,48.29,46.57,43.69,41.98,43.69,41.23,37.41,36.11
31.32,27.73,25.21,24.76,25.29,29.67,35.12,35.52,40.10,40.06,40.66,40.54,40.70,40.62,40.42,40.46,40.42,41.10,40.33,40.33,40.50,40.14,33.97,33.38
29.29,26.67,24.23,23.27,23.34,27.48,32.88,34.44,37.74,38.24,40.66,40.96,41.34,42.26,42.04,41.87,42.46,41.02,39.35,39.10,40.20,38.82,36.16,30.56
32.68,29.80,26.37,25.16,25.96,29.85,34.41,34.83,37.48,39.50,41.09,42.31,42.82,42.48,43.55,45.15,45.14,44.52,41.97,40.74,40.78,39.84,33.75,32.81
33.14,28.46,25.18,23.88,24.47,27.25,31.35,35.06,38.06,40.24,41.18,42.39,42.73,44.38,43.91,47.16,47.71,47.10,43.12,41.89,41.56,41.15,37.69,33.99
32.42,28.51,25.18,23.81,24.72,27.81,31.41,34.08,39.21,40.84,41.76,42.88,42.68,42.57,42.96,43.64,43.31,43.88,42.04,40.56,40.56,40.21,35.57,33.49
29.47,27.15,23.90,23.15,23.36,27.20,33.61,35.04,37.78,39.27,40.99,42.18,42.50,43.31,42.78,43.94,43.68,43.50,40.71,40.36,40.55,39.02,35.80,33.98
30.46,29.36,26.60,25.00,25.90,28.75,33.77,35.19,37.89,39.62,41.01,42.63,43.23,44.31,44.33,45.44,44.64,43.88,41.53,40.64,40.90,40.40,38.14,34.50
29.26,26.52,24.02,22.79,22.94,27.78,33.80,35.05,38.57,40.89,43.34,44.98,45.35,49.73,52.69,55.28,55.59,53.23,47.32,44.66,44.54,43.65,39.76,35.55
31.66,26.86,23.67,23.93,23.76,26.91,34.67,38.11,40.67,43.13,47.04,50.84,52.04,55.72,56.22,63.86,67.45,60.93,50.65,48.03,47.14,44.91,41.65,36.14
37.33,35.38,32.84,32.73,30.59,34.58,37.04,40.93,46.89,52.32,56.25,61.78,63.33,68.53,72.38,74.33,69.37,67.67,61.80,50.06,51.58,50.01,47.52,40.97
37.94,35.98,34.16,34.06,32.88,35.05,36.80,40.55,44.06,45.42,48.03,50.14,51.74,53.31,53.22,51.95,50.20,46.98,44.11,41.89,42.86,43.54,40.66,35.07
29.29,26.16,23.55,23.43,23.44,25.25,28.85,33.56,36.79,38.69,39.38,40.03,40.67,41.42,41.95,41.71,42.04,40.70,38.80,37.99,38.77,37.56,32.91,24.63
29.25,25.94,24.59,23.52,23.35,25.76,30.89,33.16,35.14,38.34,41.00,42.76,44.40,46.44,47.76,50.30,50.48,50.48,45.24,43.23,41.62,40.86,34.74,33.38
30.85,28.96,25.29,23.61,24.18,26.94,31.64,33.95,36.30,39.04,41.79,43.65,45.93,49.06,50.50,53.53,58.49,53.05,46.02,42.36,42.15,41.26,36.87,33.93
33.87,31.52,29.73,28.52,28.93,31.03,35.59,37.66,40.46,43.13,46.06,46.38,45.50,48.18,46.96,45.69,48.40,44.11,43.99,43.43,42.83,42.27,38.67,37.44
35.04,32.65,30.19,28.85,29.47,31.72,36.83,39.59,42.09,44.20,47.15,48.40,48.06,48.27,46.84,49.54,52.60,48.72,45.74,44.35,43.92,42.68,39.60,37.04
37.44,34.33,30.16,29.25,29.63,32.00,36.33,38.61,41.96,43.25,46.59,48.33,49.20,50.58,53.18,54.21,54.54,51.15,47.02,43.21,43.02,42.93,39.84,38.10
35.67,33.12,33.33,32.37,32.47,32.89,35.43,38.15,41.61,44.29,49.72,53.44,56.29,59.12,64.26,68.91,71.44,65.23,55.08,50.76,52.03,49.23,40.91,37.75
